balance,zero_activity_freq,cumulativeincome,lag_balance,lag_cumulativeincome,rolling_mean_balance,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,balance_error_flag,has_trigger
-0.011728928720026446,-0.056076466037928006,-0.0024737101350926225,-0.01964525122224508,-0.004542127205799179,-0.013808868064968094,3.885564463457225e-05,-0.017208162509476738,-0.09557876630929646,-0.04377527463297294
-0.011294689253505893,-0.05504483563400418,-0.004240676484286313,-0.02262721779741018,-0.00070814157948828,-0.006658061250701497,0.0009622649955579043,-0.020651004822145214,-0.10094765579052252,-0.04332109278753145
-0.012636976326432072,-0.05590599731952322,-0.0006920036171644934,-0.019182276647141488,-0.0009043299775675317,-0.011046412406528509,0.00018477260838500875,-0.019171080720028117,-0.09858869858183093,-0.04631292417074986
-0.00993012758027196,-0.05901123996443373,-0.0028542485265963045,-0.018269656860608077,-0.004380892386997078,-0.014017609993891208,0.001963966829886865,-0.014752625627685128,-0.09679676468335215,-0.04592954784021797
-0.01628176464988279,-0.05664560870323907,-0.003974804363526358,-0.020072177032013173,0.0006423891464755194,-0.008175518875616473,0.0024049257830692336,-0.0186450234835506,-0.09743110305759194,-0.045525491573625745
-0.014900832420018195,-0.058255443734271245,-0.0054030818975715055,-0.017332795002597063,0.000134601206829843,-0.0073518722426735815,-0.0004552068356127661,-0.017111087428519373,-0.09586908463558083,-0.04695116541617036
-0.01109467862828224,-0.07305956781346125,-0.0012457433569247178,-0.019104593001680478,0.0004205846086823839,-0.008739913055369817,-0.0008599679773096229,-0.01967630316172062,-0.10158328585061366,-0.04425186186905695
-0.011360055443246066,-0.07240339259745414,-0.002423659759589627,-0.020149899188861196,-0.00030280590112872726,-0.010884659694061782,0.0012330265238026383,-0.01920559670667709,-0.09908358233971501,-0.044614800729873096
-0.014566082486061938,-0.07200947646242474,-0.0021554419403947353,-0.017688493686058123,-0.0032585288632190597,-0.010008593408873428,0.0017113652042682892,-0.021158527127221664,-0.09588678848396875,-0.0441749773891511
-0.012625898875813887,-0.07291411461788916,-0.00440621381491273,-0.020325769214014064,-0.00021484048689524027,-0.010720476184204781,0.0033176703231268356,-0.017824712311015067,-0.10061007493297167,-0.042871237781421774
-0.01372919668649512,-0.07079942386717676,-0.002410211396023322,-0.016554399715503317,-0.0014082923936999982,-0.009720973806133779,-0.000508960124342317,-0.019717187886393504,-0.09352976551401473,-0.05081732918794057
-0.013814020979219778,-0.07282981245415139,-0.0032165016349895237,-0.014911097340047417,-0.002388603958610014,-0.010296879524748195,-0.0025129885163101442,-0.018572392496338228,-0.09549803606353761,-0.0451554785693026
-0.012473912116906535,-0.0720594885960936,-0.0016936673223510417,-0.019261977568219776,-0.0012288913667082156,-0.009784642518405611,-0.0005584528910971831,-0.01759375208005742,-0.0961517505926614,-0.04838934857588518
-0.012339543080264758,-0.06066886159506912,-0.003948177075862505,-0.020287069865838725,0.0016811676582617102,-0.011120849492901128,0.0014583242819346531,-0.02113177050319062,-0.08893100888235411,0.557019079659219
-0.015906655745561202,-0.05485548580317836,-0.003084336134216561,-0.022188155866718896,-0.0006768891621970992,-0.0074709001721881794,0.0012077078650466477,-0.019427119137053153,-0.09688647903979608,-0.044346874536009655
-0.012997893802174372,-0.05730282713536502,0.00022033842313762264,-0.02049602136055361,-0.0010833110732186887,-0.009523710465648495,-0.0003162388895144658,-0.021546311006980904,-0.09808009945109651,-0.04252126315021917
-0.013661734536959291,-0.0576241658812259,-0.0018472108107678977,-0.017692525904552583,-0.002903878066846025,-0.01240114163460119,-0.0008103796189578572,-0.017559321586591913,-0.09543322291217889,-0.04372576705273161
-0.0134088646277802,-0.05577526356769732,-0.001592821451870105,-0.0225699876618846,-0.0019292214191085916,-0.009563920091699523,0.0032250304786508033,-0.018221131656750236,-0.09872711783353073,-0.04584038453803546
-0.01152121071011472,-0.05976950128402043,-0.0011343348750565418,-0.022109415349203933,0.0010588865172077577,-0.007761243716690424,-0.0011975353273223056,-0.019602621435290346,-0.09798173926921896,-0.04451297910440785
-0.012825023320469097,-0.05783216568196259,-0.00615776749990001,-0.0176041860044391,0.0009765439136297238,-0.010269995639650524,0.0010546692410427299,-0.021517753187385594,-0.09704563800170242,-0.043401493220766134
-0.011987263580611815,-0.0749995121436067,-0.003954214343930907,-0.017867826841042315,-0.001169287065243275,-0.011826304084113693,0.004811334224336883,-0.016533507254085793,-0.1006843847082682,-0.04609477010981802
-0.016320127784605225,-0.05993559752120504,-0.0024756205127114636,-0.01846191392697059,-0.002212686432196007,-0.00740051041883439,0.00037255359983295877,-0.019637381057473775,-0.08851032437667783,0.5554526253238539
-0.010471428588254896,-0.05877577151205078,-0.002233150356594135,-0.01962267306109554,-0.0007668788419763967,-0.011095473566334403,0.0029134830257147026,-0.019839097729075265,-0.09868702746314376,-0.04552600733995516
-0.010493168795913223,-0.05975646011547473,-0.0044223166490327676,-0.02130186927544132,-0.0009595050974674502,-0.007378316171464431,0.003332183317534521,-0.01738255659610222,-0.09862045748354827,-0.04624058902414676
-0.010372933284711375,-0.05959974450482087,-0.0025256710112775333,-0.020323997616935773,-0.002598430832395376,-0.008875133300718646,-0.0015034183723898198,-0.014443632837864429,-0.10025906364501619,-0.04270988636937849
-0.01296632178055656,-0.05986079986241683,0.00110943152363011,-0.018276540011751673,-0.0022224365103445955,-0.012929971016224468,0.0011404800927135028,-0.016753821140648714,-0.10020962416889312,-0.042231300397454506
-0.011020828355932271,-0.05435299497078516,0.0005001403094561782,-0.021127030032635923,-0.0023813263277549317,-0.01080208907087167,0.00026103492771245573,-0.01893756121250687,-0.09845640398195563,-0.046873755256284
-0.01091981197819696,-0.05768295652338934,-0.0010761961285429339,-0.020886507177969797,-0.0011076043367591725,-0.009806955713777135,0.0012202411833317495,-0.01792586625774807,-0.09945111876460905,-0.0455458505545937
-0.01534411464855552,-0.07347641344302977,-0.0032285350373565595,-0.016072492202553045,-0.0024966673236317856,-0.009622489127146321,0.001516309799300286,-0.02008512731164104,-0.09372481248185707,-0.046347736920625555
-0.011865196079203812,-0.07450592749802845,-0.0013936515249380992,-0.017107108491778635,-0.0037849226349414384,-0.012557347373713628,0.003567626865687179,-0.01699551205919201,-0.09993108025087696,-0.04430911740146422
-0.01434276364798069,-0.07342792266617384,-0.0034835061077490423,-0.018771480951885126,-0.00036207558638595174,-0.011257623505310833,0.00223222421218644,-0.016927771234600427,-0.09922896412804713,-0.04331250233960901
-0.008170104748080229,-0.07500668102718452,-0.0034082458111327966,-0.017632470372896336,-0.0027180142918949352,-0.00982248161604376,0.0009011919709352445,-0.018605916773601676,-0.09988583745630726,-0.044533993487965065
-0.01182478623664142,-0.07265842631322651,-0.004492376205038398,-0.01795838949130686,0.002182445851471926,-0.012310271276334939,-0.00020426004729458746,-0.017250548733512717,-0.09849335665193179,-0.045872765071904346
-0.015444781399481954,-0.07095963035599054,-0.003794222775887378,-0.01533393554995659,-0.001454753502366622,-0.01215136002380832,-0.0007127221961276131,-0.018236309206108435,-0.09167440865971449,-0.049120804272749743
